task_id,model_id,category,text,tool_call,response,task_name,label,details
"door_left_open_door_left_open-door_left_open-0","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant blueprint automation YAML based on your specifications:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor monitoring the door.\n      selector:\n        entity:\n          domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The media player and alert sound to play.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: The amount of time the door must remain open before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - trigger: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media: !input alert_media\n```","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-0","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant blueprint automation YAML based on your specifications:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor monitoring the door.\n      selector:\n        entity:\n          domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The media player and alert sound to play.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: The amount of time the door must remain open before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - trigger: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media: !input alert_media\n```","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-1","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint for playing an alert when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door has been left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          filter:\n            - domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - trigger: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: !input alert_media\nmode: single\n```","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-1","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint for playing an alert when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door has been left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          filter:\n            - domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - trigger: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: !input alert_media\nmode: single\n```","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-2","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint based on your specification:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          filter:\n            - domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: '{{ alert_media.media_content_id }}'\n      media_content_type: '{{ alert_media.media_content_type }}'\n      metadata: '{{ alert_media.metadata | default({}) }}'\n```","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-2","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint based on your specification:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          filter:\n            - domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: '{{ alert_media.media_content_id }}'\n      media_content_type: '{{ alert_media.media_content_type }}'\n      metadata: '{{ alert_media.metadata | default({}) }}'\n```","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-3","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint based on your requirements:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a media player when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          filter:\n            - domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\nmode: restart\nmax_exceeded: silent\n\ntrigger:\n  - trigger: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data: !input alert_media\n```","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-3","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint based on your requirements:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a media player when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          filter:\n            - domain: binary_sensor\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\nmode: restart\nmax_exceeded: silent\n\ntrigger:\n  - trigger: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data: !input alert_media\n```","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-4","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint based on your specification:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n```","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-4","gemini-3.7-flash","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here is the Home Assistant automation blueprint based on your specification:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: A binary_sensor entity selector door sensor that is the target of the automation.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The target for the media selector for the media player and media id with the alert.\n      selector:\n        media: {}\n    open_duration:\n      name: Open Duration\n      description: A duration selector, the amount of time before playing the alert.\n      selector:\n        duration: {}\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - action: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n```","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
